id,en-us,es-es,fr-fr,pt-br,ar,fa-ir,zh-cn,ru-ru,id-id,ur
PoriF2MBR4UFGCthGOAO,"communities","comunidades","communautés","comunidades","مجتمعات","جوامع","社區","сообщества","komunitas","کمیونٹی"
Q4riF2MBR4UFGCthGOC7,"emergency incident","incidente de emergencia","incident d'urgence","incidente de emergência","حادث طارئ","حادثه اضطراری","緊急事件","аварийный инцидент","insiden darurat","ہنگامی واقعہ"
QIriF2MBR4UFGCthGOBM,"development","desarrollo","Développement","desenvolvimento","التنمية","توسعه","发展","Развитие","pembangunan","ترقی"
QYriF2MBR4UFGCthGOCA,"drug use","uso de drogas","usage de drogues","uso de drogas","تعاطي المخدرات","用藥","用藥","употребление наркотиков","penggunaan narkoba","منشیات کا استعمال"
QoriF2MBR4UFGCthGOCa,"election","elección","élection","eleição","انتخاب","انتخابات","選舉","выборы","pemilihan","انتخاب"
R4riF2MBR4UFGCthGeAr,"foreign aid","Ayuda exterior","Aide à l’étranger","Ajuda externa","مساعدات خارجية","کمک های خارجی","对外援助","Внешняя помощь","Bantuan Luar Negeri","غیر ملکی امداد"
RIriF2MBR4UFGCthGODY,"emergency planning","planificación de emergencias","planification d'urgence","planejamento de emergência","تخطيط الطوارئ","برنامه ریزی اضطراری","應急計劃","планирование чрезвычайных ситуаций","perencanaan darurat","ہنگامی منصوبہ بندی"
RYriF2MBR4UFGCthGOD0,"emergency response","respuesta de emergencia","réponse d'urgence","Resposta de emergência","رد طارئ","پاسخ اضطرار ی","應急響應","аварийного реагирования","respon darurat","ہنگامی ردعمل"
RoriF2MBR4UFGCthGeAQ,"family","familia","famille","família","أسرة","خانواده","家庭","семья","keluarga","خاندان"
S4riF2MBR4UFGCthGeCq,"interreligious dialogue","diálogo interreligioso","dialogue interreligieux","diálogo inter-religioso","الحوار بين الاديان","گفتگوی مذهبی","宗教間對話","межрелигиозный диалог","dialog antaragama","مداخلت کی بات چیت"
SIriF2MBR4UFGCthGeBK,"government policy","política gubernamental","politique gouvernementale","política do governo","سياسة الحكومة","سیاست دولت","政府政策","правительственная политика","Kebijakan pemerintah","حکومتی پالیسی"
SYriF2MBR4UFGCthGeBk,"humankind","Humanidad","Humanité","Humanidade","البشرية","بشریت","人類","человечество","ummat manusia","انسانیت"
SoriF2MBR4UFGCthGeCK,"international relations","Relaciones internacionales","Relations internationales","Relações internacionais","العلاقات الدولية","روابط بین المللی","国际关系","Международные отношения","Hubungan Internasional","بین الاقوامی تعلقات"
T4riF2MBR4UFGCthGuBE,"prisoners","presos","les prisonniers","prisioneiros","السجناء","زندانیان","囚犯","заключенных","tahanan","قیدیوں"
TIriF2MBR4UFGCthGeDG,"law enforcement","cumplimiento de la ley","forces de l'ordre","aplicação da lei","تطبيق القانون","اجرای قانون","執法","правоохранительные органы","penegakan hukum","قانون نافذ کرنے والے"
TYriF2MBR4UFGCthGuAN,"non-governmental organization (ngo)","organización no gubernamental (ONG)","organisation non gouvernementale (ONG)","organização não governamental (ONG)","منظمة غير حكومية (NGO)","سازمان غیردولتی (NGO)","非政府組織（NGO）","неправительственная организация (НПО)","organisasi non-pemerintah (LSM)","غیر سرکاری تنظیم (این جی او)"
ToriF2MBR4UFGCthGuAo,"post-war reconstruction","reconstrucción de posguerra","reconstruction d'après-guerre","reconstrução pós-guerra","إعادة الإعمار بعد الحرب","بازسازی پس از جنگ","戰後重建","послевоенная реконструкция","rekonstruksi pasca perang","جنگ کے بعد تعمیر"
U4riF2MBR4UFGCthGuC4,"state relations","relaciones estatales","relations d'état","relações estatais","علاقات الدولة","روابط دولت","國家關係","отношения государства","hubungan negara","ریاستی تعلقات"
UIriF2MBR4UFGCthGuBi,"public management","gestión pública","gestion publique","gestão pública","الإدارة العامة","مدیریت عمومی","公共管理","государственное управление","manajemen publik","عوامی انتظام"
UYriF2MBR4UFGCthGuB_,"social condition","condición social","Condition sociale","Condição social","حالة اجتماعية","شرایط اجتماعی","社會狀況","социальное состояние","kondisi sosial","سماجی حالت"
UoriF2MBR4UFGCthGuCb,"social problem","problema social","problème social","Problema social","مشكلة اجتماعية","مشکل اجتماعی","社會問題","социальная проблема","masalah sosial","سماجی مسئلہ"
V4riF2MBR4UFGCthG-Ar,"women’s empowerment","potenciación de la mujer","autonomisation des femmes","empoderamento da mulher","تمكين النساء","توانمندسازی زنان","女性自主权","расширение прав и возможностей женщин","pemberdayaan wanita","خواتین کو بااختیار بنانا"
VIriF2MBR4UFGCthGuDY,"transparency","transparencia","transparence","transparência","الشفافية","شفافیت","透明度","прозрачность","Transparansi","شفافیت"
VYriF2MBR4UFGCthGuDz,"women & girls","mujeres y niñas","Femmes et filles","mulheres e meninas","النساء والفتيات","زنان و دختران","妇女和女孩","Женщины и девочки","perempuan & anak perempuan","عورتیں اور لڑکیاں"
VoriF2MBR4UFGCthG-AQ,"women's issues","Problemas de mujeres","les problèmes des femmes","problemas femininos","قضايا المرأة","مسائل زنان","婦女的問題","проблемы женщин","masalah wanita","خواتین کے مسائل"
W4riF2MBR4UFGCthHODh,"business planning","planificación empresarial","Planning d'affaires","planejamento de negócios","تخطيط الأعمال","برنامه ریزی کسب و کار","商業計劃","планирование бизнеса","perencanaan bisnis","کاروباری منصوبہ بندی"
WYriF2MBR4UFGCthHOCq,"agriculture","agricultura","agriculture","agricultura","الزراعة","کشاورزی","農業","сельское хозяйство","pertanian","زراعت"
WoriF2MBR4UFGCthHODH,"business and entrepreneurship","negocios y emprendimiento","affaires et entrepreneuriat","negócios e empreendedorismo","الأعمال وريادة الأعمال","کسب و کار و کارآفرینی","商業和創業","бизнес и предпринимательство","bisnis dan kewirausahaan","کاروبار اور کاروباری اداری"
X4riF2MBR4UFGCthHeBN,"entrepreneurship","espíritu empresarial","Esprit d'entreprise","empreendedorismo","ريادة الاعمال","کارآفرینی","创业 ","предпринимательство","Kewirausahaan","کاروباری تنظیم کار"
XIriF2MBR4UFGCthHOD8,"business plans & operations","planes de negocios y operaciones","plans d'affaires et opérations","planos de negócios e operações","خطط العمل والعمليات","برنامه های تجاری و عملیات","業務計劃和運營","бизнес-планы и операции","encana & operasi bisnis","کاروباری منصوبہ بندی اور آپریشن"
XYriF2MBR4UFGCthHeAW,"economic sector","Sector económico","secteur économique","setor economico","القطاع الاقتصادي","بخش اقتصادی","經濟部門","экономический сектор","sektor ekonomi","اقتصادی شعبے"
XoriF2MBR4UFGCthHeAz,"employment","empleo","emploi","emprego","توظيف","استخدام","僱用","занятость","pekerjaan","روزگار"
Y4riF2MBR4UFGCthHeDR,"labor relations","relaciones laborales","les relations de travail","relações de trabalho","علاقات العمل","روابط کارگری","勞動關係","трудовые отношения","hubungan kerja","مزدور تعلقات"
YIriF2MBR4UFGCthHeB3,"funding","Fondos","Financement","Financiamento","التمويل","منابع مالی","資金","финансирование","Pendanaan","فنڈ"
YYriF2MBR4UFGCthHeCW,"international trade","comercio internacional","Commerce international","comércio internacional","التجارة الدولية ","تجارت بین المللی","国际贸易","международная торговля","perdagangan internasional","بین الاقوامی تجارت"
YoriF2MBR4UFGCthHeC1,"labor market","mercado de trabajo","marché du travail","mercado de trabalho","سوق العمل","بازار کار","勞動力市場","рынок труда","pasar tenaga kerja","مزدوروں کی منڈی"
Z4riF2MBR4UFGCthHuCB,"small family business","pequeña empresa familiar","petite entreprise familiale","pequena empresa familiar","الشركات العائلية الصغيرة","کسب و کار خانوادگی کوچک","小型家族企業","небольшой семейный бизнес","bisnis keluarga kecil","چھوٹے خاندان کے کاروبار"
ZIriF2MBR4UFGCthHeDt,"market","mercado","marché","mercado","سوق","بازار","市場","рынок","pasar","مارکیٹ"
ZYriF2MBR4UFGCthHuAJ,"natural resources","recursos naturales","ressources naturelles","recursos naturais","الموارد الطبيعية","منابع طبیعی","自然資源","природные ресурсы","sumber daya alam","قدرتی وسائل"
ZoriF2MBR4UFGCthHuAj,"personal & professional development","desarrollo personal y profesional","développement personnel et professionnel","desenvolvimento pessoal e profissional","التطوير الشخصي والمهني","توسعه شخصی و حرفه ای","個人和職業發展","личное и профессиональное развитие","pengembangan pribadi & profesional","ذاتی اور پیشہ ورانہ ترقی"
a4riF2MBR4UFGCthH-AC,"unions","el sindicato","syndicats","uniões","النقابات","اتحادیه ها","工會","союзы","serikat pekerja","یونین"
aIriF2MBR4UFGCthHuCv,"social entrepreneurship","el emprendimiento social","l'entrepreneuriat social","empreendedorismo Social","المشاريع الاجتماعية","کارآفرینی اجتماعی","社會創業","социальное предпринимательство","kewirausahaan sosial","سماجی کاروباری"
aYriF2MBR4UFGCthHuDL,"startups","puesta en marcha","démarrer","arranque","تبدأ","شروع کن","啟動","запускать","memulai","شروع کرو"
aoriF2MBR4UFGCthHuDl,"unemployment","desempleo","chômage","desemprego","بطالة","بیکاری","失業","безработица","pengangguran","بے روزگار"
b4riF2MBR4UFGCthH-Ce,"mechanical engineering","Ingeniería mecánica","ingénierie mécanique","Engenharia Mecânica","مهندس ميكانيكى","مهندسی مکانیک","機械工業","машиностроение","teknik Mesin","میکینکل انجینئرنگ"
bYriF2MBR4UFGCthH-A-,"application information","información de la aplicación","informations d'application","informação da aplicação","معلومات التطبيق","اطلاعات برنامه","應用信息","информация о приложении","informasi aplikasi","درخواست کی معلومات"
boriF2MBR4UFGCthH-CD,"mathematics","matemáticas","mathématiques","matemática","الرياضيات","ریاضیات","數學","математика","matematika","ریاضی"
c4riF2MBR4UFGCthIOCE,"scientific institutions","instituciones científicas","institutions scientifiques","instituições científicas","المؤسسات العلمية","موسسات علمی","科學機構","научных учреждений","institusi ilmiah","سائنسی اداروں"
cIriF2MBR4UFGCthIOAO,"religious education","educación religiosa","éducation religieuse","Educação religiosa","التعليم الديني","مطالعات دینی و اعتقادی","宗教教育","религиозное образование","pendidikan agama","دینی تعلیم"
cYriF2MBR4UFGCthIOAu,"research","investigación","recherche","pesquisa","ابحاث","پژوهش","研究","исследование","penelitian","تحقیق"
coriF2MBR4UFGCthIOBP,"school","colegio","école","escola","مدرسة","مدرسه","學校","школа","sekolah","اسکول"
d4riF2MBR4UFGCthIeA7,"animal","animal","animal","animal","حيوان","حیوانات","動物","животное","hewan","جانور"
dIriF2MBR4UFGCthIODH,"social sciences","Ciencias Sociales","Sciences sociales","Ciências Sociais","العلوم الاجتماعية","علوم اجتماعی","社會科學","социальные науки","ilmu Sosial","سماجی علوم"
dYriF2MBR4UFGCthIOD1,"teaching","enseñando","enseignement","ensino","تعليم","درس دادن","教學","обучение","pengajaran","پڑھانا"
e4riF2MBR4UFGCthIeCn,"environmental politics","política ambiental","politique environnementale","política ambiental","السياسة البيئية","سیاست زیست محیطی","環境政治","экологическая политика","politik lingkungan","ماحولیاتی سیاست"
eIriF2MBR4UFGCthIeBY,"climate","clima","climat","clima","مناخ","آب و هوا","氣候","климат","iklim","آب و ہوا"
eYriF2MBR4UFGCthIeBz,"climate change","cambio climático","Changement climatique","mudanças climáticas","تغير المناخ","تغییرات آب و هوا","气候变化","изменение климата","perubahan iklim","آب و ہوا میں تبدیلی"
eoriF2MBR4UFGCthIeCN,"conservation","conservación","Conservation","conservação","المحميات","محافظت از محیط زیست","自然保护","охрана окружающей среды","konservasi/pelestarian","تحفظ"
f4riF2MBR4UFGCthIuBb,"oceans","océanos","océans","oceanos","المحيطات","اقیانوس","海洋","океаны","Lautan","سمندر"
fIriF2MBR4UFGCthIeDI,"environmental pollution","contaminación ambiental","pollution environnementale","poluição ambiental","التلوث البيئي","آلودگی محیطی","環境污染","загрязнение окружающей среды","pencemaran lingkungan","ماحولیاتی آلودگی"
fYriF2MBR4UFGCthIuAj,"natural science","Ciencias Naturales","sciences naturelles","Ciência natural","علم الطبيعة","علوم طبیعی","自然科學","естественные науки","ilmu pengetahuan Alam","قدرتی سائنس"
foriF2MBR4UFGCthIuA_,"nature","naturaleza","la nature","natureza","طبيعة","طبیعت","性質","природа","alam","فطرت"
g4riF2MBR4UFGCthIuDv,"weather phenomena","fenómenos meteorológicos","phénomènes météorologiques","fenômenos climáticos","ظواهر الطقس","پدیده آب و هوا","天氣現象","явления погоды","fenomena cuaca","موسم کے رجحان"
gIriF2MBR4UFGCthIuB4,"plant","planta","plante","plantar","نبات","گیاه","廠","растение","menanam","پلانٹ"
gYriF2MBR4UFGCthIuC2,"scientific standards","estándares científicos","normes scientifiques","padrões científicos","المعايير العلمية","استانداردهای علمی","科學標準","научные стандарты","standar ilmiah","سائنسی معیار"
goriF2MBR4UFGCthIuDR,"weather forecast","pronóstico del tiempo","prévisions météorologiques","previsão do tempo","النشرة الجوية","پیش بینی آب و هوا","天氣預報","прогноз погоды","Prakiraan Cuaca","موسم کا حال"
hIriF2MBR4UFGCthI-AK,"weather statistic","estadística del tiempo","statistique météorologique","estatística do tempo","إحصائيات الطقس","آمار آب و هوا","天氣統計","статистика погоды","statistik cuaca","موسم کی حیثیت"
hYriF2MBR4UFGCthI-Ak,"weather warning","advertencia del clima","avertissement de temps","aviso de tempo","تحذير الطقس","هشدار هوا","天氣警告","предупреждение о погоде","peringatan cuaca","موسم انتباہ"
horiF2MBR4UFGCthI-A_,"wildlife","Vida silvestre","Faune et flore","Vida selvagem","الحياة البرية","حیات وحش","野生生物","Живая природа","Margasatwa","جَنگَلی حَيات"
i4riF2MBR4UFGCthI-DG,"geographical regions","regiones geográficas","régions géographiques","regiões geográficas","المناطق الجغرافية","مناطق جغرافیایی","地理區域","географических регионах","wilayah geografis","جغرافیای علاقوں"
iIriF2MBR4UFGCthI-B0,"continents","continentes","continents","continentes","القارات","قاره ها","大陸","континенты","benua","براعظم"
iYriF2MBR4UFGCthI-CP,"countries","países","des pays","paises","بلدان","کشورها","國家","страны","negara-negara","ممالک"
ioriF2MBR4UFGCthI-Cs,"demographics","datos demográficos","démographie","demografia","التركيبة السكانية","جمعیت شناسی","人口統計學","демографические","demografi","ڈیموگرافکس"
j4riF2MBR4UFGCthJOBV,"countering violent extremism","Contrarrestar el extremismo violento","Contrer l’extrémisme violent","Combate ao extremismo violento","مكافحة التطرّف العنيف","مقابله با افراط گرایی خشونت آمیز","抗击暴力极端主义","Противодействие насильственному экстремизму","Melawan kekerasan ekstremisme","پرتشدد انتہا پسندی کا مقابلہ کرنا"
jYriF2MBR4UFGCthJOAO,"act of terror","acto de terror","acte de terreur","ato de terror","فعل من الارهاب","اقدام تروریستی","恐怖行為","акт ужаса","tindakan teror","دہشت گردی کا کام"
joriF2MBR4UFGCthJOAp,"armed conflict","conflicto armado","un conflit armé","conflito armado","الصراع المسلح","درگیری های مسلحانه","武裝衝突","вооруженный конфликт","konflik bersenjata","مسلح تصادم"
kIriF2MBR4UFGCthJOBx,"coup d’etat","golpe de Estado","coup d'État","golpe de Estado","قاعدة شاذة","کودتا","政變","государственный переворот","kudeta","بغاوت"
kYriF2MBR4UFGCthJODg,"massacre","masacre","massacre","massacre","مذبحة","قتل عام","屠殺","бойня","pembantaian","قتل عام"
koriF2MBR4UFGCthJOD6,"peace process","proceso de paz","procédé de paix","processo de paz","عملية السلام","روند صلح","和平進程","мирный процесс","proses perdamaian","امن عمل"
l4riF2MBR4UFGCthJeDA,"health organizations","organizaciones de salud","organisations de santé","organizações de saúde","المنظمات الصحية","سازمان های بهداشتی","衛生組織","организации здравоохранения","organisasi kesehatan","صحت کی تنظیمیں"
lIriF2MBR4UFGCthJeBV,"biomedical science","ciencia Biomedica","science biomédicale","Ciência biomédica","علم الطب الحيوي","علم پزشکی","生物醫學科學","биомедицинская наука","ilmu biomedis","حیاتیاتی سائنس"
jHPyT3EBmTM8gWMbCdxB,COVID-19,COVID-19,COVID-19,COVID-19,COVID-19,COVID-19,COVID-19,COVID-19,COVID-19,COVID-19
jHPyT3EBmTM8gWMbCdxB,"coronavirus","coronavirus","coronavirus","coronavirus","فيروس كورونا","ویروس کرونا","冠状病毒","Коронавирус","coronavirus","کورونا وائرس"
lYriF2MBR4UFGCthJeBy,"diseases","enfermedades","maladies","doenças","الأمراض","بیماری ها","疾病","болезни","penyakit","بیماریوں"
loriF2MBR4UFGCthJeCm,"health facility","facilidad de salud","établissement de santé","estabelecimento de saúde","مرفق صحي","مرکز بهداشت","衛生設施","медицинское учреждение","fasilitas kesehatan","صحت کی سہولت"
m4riF2MBR4UFGCthJ-AY,"non-human diseases","enfermedades no humanas","maladies non-humaines","doenças não humanas","أمراض غير بشرية","بیماری های غیر انسانی","非人類疾病","нечеловеческие заболевания","penyakit non-manusia","غیر انسانی بیماریوں"
mIriF2MBR4UFGCthJeDd,"health treatment","tratamiento de salud","traitement de santé","tratamento de saúde","العلاج الصحي","درمان درمانی","健康治療","лечение","perawatan kesehatan","صحت کا علاج"
mYriF2MBR4UFGCthJeD4,"healthcare policy","política de salud","politique de santé","política de saúde","سياسة الرعاية الصحية","سیاست های بهداشتی","保健政策","политика здравоохранения","kebijakan perawatan kesehatan","صحت کی دیکھ بھال کی پالیسی"
moriF2MBR4UFGCthJuAa,"medical profession","profesión médica","profession médicale","profissão médica","مهنة طبية","حرفه پزشکی","醫學界","Медицинская профессия","profesi medis","طبی پیشہ"
n4riF2MBR4UFGCthJ-Cb,"fundamental rights","derechos fundamentales","droits fondamentaux","direitos fundamentais","الحقوق الأساسية","حقوق بنیادی","基本權利","основные права","hak dasar","بنیادی حقوق"
nIriF2MBR4UFGCthJ-A0,"treatment","tratamiento","traitement","tratamento","علاج او معاملة","رفتار","治療","лечение","pengobatan","علاج"
noriF2MBR4UFGCthJ-Bt,"discrimination","discriminación","discrimination","discriminação","تمييز","تبعیض","區別","дискриминация","diskriminasi","امتیازی سلوک"
oIriF2MBR4UFGCthJ-DK,"pride","orgullo","fierté","orgulho","فخر","غرور","自豪","гордость","kebanggaan","فخر"
oYriF2MBR4UFGCthKOAL,"rights","derechos","droits","direitos","حقوق","حقوق","權利","права","hak","حقوق"
ooriF2MBR4UFGCthKOBI,"welfare","bienestar","aide sociale","bem-estar","خير","رفاه","福利","благосостояние","kesejahteraan","فلاح و بہبود"
p4riF2MBR4UFGCthKeAp,"democracy","DEMOCRACIA","Démocratie","democracia","الديمقراطية","دموکراسی","民主","Демократия","Demokrasi","جمہوریت"
pIriF2MBR4UFGCthKOC2,"mass media","medios de comunicación","médias de masse","mídia de massa","وسائل الإعلام الجماهيرية","رسانه های جمعی","媒體","СМИ","media massa","ذرائع ابلاغ"
pYriF2MBR4UFGCthKODS,"media & press","medios y prensa","médias et presse","mídia e imprensa","وسائل الاعلام والصحافة","رسانه ها و مطبوعات","媒體和媒體","СМИ и прессы","media & tekan","میڈیا اور پریس"
q4riF2MBR4UFGCthKeDJ,"policy","política","politique","política","سياسات","سیاست","政策","политика","kebijakan","پالیسی"
qIriF2MBR4UFGCthKeBU,"governance","gobierno","Gouvernance","governança","الحكم","حکومت داری خوب ","治理","управление","pemerintahan","گورننس"
qYriF2MBR4UFGCthKeBv,"government","gobierno","gouvernement","governo","الحكومي","دولت","政府","правительство","pemerintah","حکومت"
qoriF2MBR4UFGCthKeCd,"judiciary","judicial","judiciaire","Judiciário","السلطة القضائية","قوه قضاییه","司法","судебная система","pengadilan","عدلیہ"
rIriF2MBR4UFGCthKeDj,"political crisis","Crisis política","crise politique","crise política","الأزمة السياسية","بحران سیاسی","政治危機","политический кризис","krisis politik","سیاسی بحران"
rYriF2MBR4UFGCthKeD_,"political dissent","disidencia política","dissidence politique","dissidência política","المعارضة السياسية","مخالفت سیاسی","政治異議","политическое несогласие","perbedaan pendapat politik","سیاسی اختلافات"
roriF2MBR4UFGCthKuAa,"political process","proceso político","processus politique","processo político","العملية السياسية","فرایند سیاسی","政治過程","политический процесс","proses politik","سیاسی عمل"
s4riF2MBR4UFGCthKuD_,"religious event","evento religioso","événement religieux","evento religioso","حدث ديني","رویداد مذهبی","宗教事件","религиозное событие","acara keagamaan","مذہبی تقریب"
sIriF2MBR4UFGCthKuCO,"interfaith","interreligioso","interconfessionnel","interfé","الأديان","مذهبی","信仰","межконфессиональный","antaragama","انٹرفی"
sYriF2MBR4UFGCthKuC4,"religious belief","creencia religiosa","croyance religieuse","crença religiosa","معتقد ديني","اعتقاد مذهبی","宗教信仰","религиозное верование","keyakinan agama","مذہبی عقیدہ"
soriF2MBR4UFGCthKuDT,"religious conflict","conflicto religioso","conflit religieux","conflito religioso","الصراع الديني","اختلافات مذهبی","宗教衝突","религиозный конфликт","konflik agama","مذہبی تنازعہ"
t4riF2MBR4UFGCthLOBv,"religious text","texto religioso","texte religieux","texto religioso","النص الديني","متن مذهبی","宗教文本","религиозный текст","teks agama","مذہبی متن"
tIriF2MBR4UFGCthLOAW,"religious facilities","instalaciones religiosas","installations religieuses","instalações religiosas","المرافق الدينية","امکانات مذهبی","宗教設施","религиозные объекты","fasilitas keagamaan","مذہبی سہولیات"
tYriF2MBR4UFGCthLOA4,"religious institutions","instituciones religiosas","institutions religieuses","instituições religiosas","المؤسسات الدينية","موسسات مذهبی","宗教機構","религиозные учреждения","institusi agama","مذہبی اداروں"
toriF2MBR4UFGCthLOBT,"religious leader","líder religioso","leader réligieux","líder religioso","قائد ديني","رهبر مذهبی","宗教領袖","религиозный лидер","pemimpin religius","مذہبی رہنما"
u4riF2MBR4UFGCthLeBg,"competition discipline","disciplina de competencia","discipline de la compétition","disciplina de competição","الانضباط المنافسة","نظم رقابت","競爭紀律","дисциплина соревнований","disiplin kompetisi","مقابلہ کی نظم و ضبط"
uYriF2MBR4UFGCthLeAJ,"engineering","Ingenieria","ingénierie","Engenharia","هندسة","مهندسی","工程","инжиниринг","teknik","انجینئرنگ"
v4riF2MBR4UFGCthLeDg,"sport organization","organización deportiva","organisation sportive","organização esportiva","منظمة رياضية","سازمان های ورزشی","體育組織","спортивная организация","organisasi olahraga","کھیل تنظیم"
vIriF2MBR4UFGCthLeB7,"disciplinary action in sport","acción disciplinaria en el deporte","action disciplinaire dans le sport","ação disciplinar no esporte","العمل التأديبي في الرياضة","اقدام انضباطی در ورزش","紀律處分在體育運動","дисциплинарные меры в спорте","tindakan disipliner dalam olahraga","کھیل میں نظم و ضبط"
vYriF2MBR4UFGCthLeCV,"drug use in sport","uso de drogas en el deporte","l'usage de drogues dans le sport","uso de drogas no esporte","تعاطي المخدرات في الرياضة","مصرف مواد مخدر در ورزش","吸毒在運動中使用","употребление наркотиков в спорте","penggunaan narkoba dalam olahraga","کھیل میں منشیات کا استعمال"
voriF2MBR4UFGCthLeDB,"sport industry","industria del deporte","industrie du sport","indústria esportiva","صناعة الرياضة","صنعت ورزش","體育產業","спортивная индустрия","industri olahraga","کھیل کی صنعت"
wIriF2MBR4UFGCthLeD9,"sport venue","complejo deportivo","complexe sportif","Local de esporte","مكان الرياضة","محل برگزاری مسابقات ورزشی","運動場地","спортивное место","tempat olahraga","کھیل کا مقام"
